# Simulated Nodulation Data File 2
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",6.6,5,0,0,0
"Control","Rm1021",14.9,10,0,4,0
"Control","Rm1021",5.6,9,0,0,0
"Control","Rm1021",20.4,5,0,2,0
"Control","Rm1021",11.7,11,0,1,0
"Control","Rm1021",23,6,0,0,0
"Control","Rm1021",19.1,3,0,0,0
"Control","Rm1021",18.6,1,0,0,0
"Control","Rm1021",20.3,3,6,0,0
"Control","Rm1021",17.3,8,0,2,0
"Control","Rm1021",18.6,3,0,2,0
"Control","Rm1021",16.2,8,0,0,0
"Control","Rm1021",20,3,0,2,0
"Control","Rm1021",15.8,4,0,3,0
"Control","Rm1021",19.8,4,0,5,0
"Control","Rm1021",18.1,3,0,0,0
"Control","Rm1021",17.4,3,0,0,0
"Control","Rm1021",14.2,0,0,3,0
"Control","Rm1021",18.6,3,0,0,0
"Control","Rm1021",2.4,2,0,1,0
"Control","Rm1021",11.3,16,0,0,0
"Control","Mock",17.3,7,0,5,0
"Control","Mock",22.5,10,0,0,0
"Control","Mock",16.5,9,0,0,0
"Control","Mock",13.6,0,0,0,0
"Control","Mock",19.9,4,0,0,0
"Control","Mock",20.5,1,0,0,0
"Control","Mock",14.4,0,0,0,0
"Control","Mock",15.6,1,0,3,0
"Control","Mock",21.3,7,1,0,0
"Control","Mock",18.3,0,0,0,0
"Control","Mock",15.8,2,0,0,0
"Control","Mock",15.8,9,1,4,0
"Control","Mock",6.9,9,0,1,0
"Control","Mock",18.2,0,0,0,0
"Control","Mock",16.7,6,0,0,0
"Control","Mock",18.2,6,0,0,0
"Control","Mock",16.4,4,0,0,0
"Control","Mock",19.3,4,0,0,0
"Control","Mock",13.8,11,0,0,0
"Control","Mock",13.8,6,0,0,0
"Control","Mock",15.3,12,0,0,0
"50mM","Rm1021",15.1,0,0,1,0
"50mM","Rm1021",20.1,4,0,0,0
"50mM","Rm1021",14.9,1,0,1,0
"50mM","Rm1021",14.2,6,0,0,0
